,player,ro24_groups,ro16_groups,ro8,ro4,second,first,position,rating,race,first_rank,rating_rank,pos_diff,group_exit,group_exit_perc,ro24_groups_perc,ro16_groups_perc,ro8_perc,ro4_perc,second_perc,first_perc
11,sos,13636,9535,4130,1842,616,241,22,1.7436141477600144,P,17.0,22.0,5.0,6829,22.763333333333332,0.45453333333333334,0.31783333333333336,0.13766666666666666,0.0614,0.020533333333333334,0.008033333333333333
12,heromarine,12781,9642,4486,1999,718,374,12,1.9473412772521153,T,16.0,12.0,-4.0,7577,25.256666666666668,0.4260333333333333,0.3214,0.14953333333333332,0.06663333333333334,0.023933333333333334,0.012466666666666666
13,parting,13783,9137,4127,1857,707,389,15,1.883635778504684,P,15.0,15.0,0.0,7080,23.599999999999998,0.45943333333333336,0.30456666666666665,0.13756666666666667,0.0619,0.023566666666666666,0.012966666666666666
14,dark,12982,9195,4462,2126,796,439,10,1.974125740992733,Z,14.0,10.0,-4.0,7823,26.076666666666664,0.43273333333333336,0.3065,0.14873333333333333,0.07086666666666666,0.026533333333333332,0.014633333333333333
15,showtime,11070,9479,5229,2644,1075,503,16,1.8734947689891495,P,13.0,16.0,3.0,9451,31.503333333333334,0.369,0.3159666666666667,0.1743,0.08813333333333333,0.035833333333333335,0.016766666666666666
16,rogue,12034,9142,4860,2358,1043,563,11,1.969161645627336,Z,12.0,11.0,-1.0,8824,29.413333333333334,0.40113333333333334,0.30473333333333336,0.162,0.0786,0.03476666666666667,0.018766666666666668
17,byun,10959,9558,5232,2509,1133,609,13,1.9463576214192688,T,11.0,13.0,2.0,9483,31.61,0.3653,0.3186,0.1744,0.08363333333333334,0.037766666666666664,0.0203
18,solar,11467,9198,5134,2473,1079,649,9,1.9915820442905623,Z,10.0,9.0,-1.0,9335,31.116666666666664,0.3822333333333333,0.3066,0.17113333333333333,0.08243333333333333,0.03596666666666667,0.021633333333333334
19,zest,10816,9154,5225,2720,1212,873,14,1.9379391939181478,P,9.0,14.0,5.0,10030,33.43333333333333,0.3605333333333333,0.3051333333333333,0.17416666666666666,0.09066666666666667,0.0404,0.0291
20,cure,10167,9212,5453,2859,1325,984,5,2.019391324480494,T,8.0,5.0,-3.0,10621,35.40333333333333,0.3389,0.30706666666666665,0.18176666666666666,0.0953,0.04416666666666667,0.0328
21,stats,9530,9154,5752,3094,1432,1038,8,1.99557556513924,P,7.0,8.0,1.0,11316,37.72,0.31766666666666665,0.3051333333333333,0.19173333333333334,0.10313333333333333,0.047733333333333336,0.0346
22,trap,8897,8786,5956,3206,1771,1384,6,2.019224357340777,P,6.0,6.0,0.0,12317,41.05666666666667,0.29656666666666665,0.29286666666666666,0.19853333333333334,0.10686666666666667,0.059033333333333333,0.04613333333333333
23,innovation,7577,8416,6276,3644,2098,1989,7,2.01286041744746,T,5.0,7.0,2.0,14007,46.69,0.25256666666666666,0.28053333333333336,0.2092,0.12146666666666667,0.06993333333333333,0.0663
24,maru,0,10386,8456,5011,3066,3081,4,2.1047815511891206,T,4.0,4.0,0.0,19614,65.38000000000001,0.0,0.3462,0.28186666666666665,0.16703333333333334,0.1022,0.1027
25,reynor,0,9658,8489,5140,3137,3576,3,2.1332092070752133,Z,3.0,3.0,0.0,20342,67.80666666666667,0.0,0.32193333333333335,0.28296666666666664,0.17133333333333334,0.10456666666666667,0.1192
26,serral,0,7758,8134,5387,3653,5068,2,2.273713905833976,Z,2.0,2.0,0.0,22242,74.14,0.0,0.2586,0.27113333333333334,0.17956666666666668,0.12176666666666666,0.16893333333333332
27,clem,0,6333,7173,4947,3667,7880,1,2.2863100150712072,T,1.0,1.0,0.0,23667,78.89,0.0,0.2111,0.2391,0.1649,0.12223333333333333,0.26266666666666666
